Symbol,Yahoo Symbol,Name
AXP,AXP,American Express Company
AAPL,AAPL,Apple Inc.
BA,BA,Boeing Company (The)
CAT,CAT,"Caterpillar, Inc."
CSCO,CSCO,"Cisco Systems, Inc."
CVX,CVX,Chevron Corporation
DD,DD,E.I. du Pont de Nemours and Com
XOM,XOM,Exxon Mobil Corporation
GE,GE,General Electric Company
GS,GS,"Goldman Sachs Group, Inc. (The)"
HD,HD,"Home Depot, Inc. (The)"
IBM,IBM,International Business Machines
INTC,INTC,Intel Corporation
JNJ,JNJ,Johnson & Johnson
KO,KO,Coca-Cola Company (The)
JPM,JPM,JP Morgan Chase & Co.
MCD,MCD,McDonald's Corporation
MMM,MMM,3M Company
MRK,MRK,"Merck & Company, Inc.  (new)"
MSFT,MSFT,Microsoft Corporation
NKE,NKE,"Nike, Inc."
PFE,PFE,"Pfizer, Inc."
PG,PG,Procter & Gamble Company (The)
TRV,TRV,"The Travelers Companies, Inc."
UNH,UNH,UnitedHealth Group Incorporated
VZ,VZ,Verizon Communications Inc.
V,V,Visa Inc.
WMT,WMT,"Wal-Mart Stores, Inc."
DIS,DIS,Walt Disney Company (The)